cycle: 0; nbPreys: 297; minEnergyPreys: 0.0043909062830543855; maxSizePreys: 0.999827201968989; minAgePrey: 1.0; maxAgePrey: 1.0; nbPredators: 26; minEnergyPredators: 0.06995639489940852; maxSizePredators: 0.9429585987206665; minAgePredators: 1.0; maxAgePredators: 1.0
cycle: 1; nbPreys: 297; minEnergyPreys: 0.05439090628305439; maxSizePreys: 1.0; minAgePrey: 1.2; maxAgePrey: 1.2; nbPredators: 26; minEnergyPredators: 0.5499563948994085; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 1.2
cycle: 2; nbPreys: 297; minEnergyPreys: 0.10439090628305439; maxSizePreys: 1.0; minAgePrey: 1.4; maxAgePrey: 1.4; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 1.4
cycle: 3; nbPreys: 376; minEnergyPreys: 0.09270722642332137; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 1.5999999999999999; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 1.5999999999999999; maxAgePredators: 1.5999999999999999
cycle: 4; nbPreys: 417; minEnergyPreys: 0.09554337447819622; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 1.7999999999999998; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 1.7999999999999998; maxAgePredators: 1.7999999999999998
cycle: 5; nbPreys: 472; minEnergyPreys: 0.12722267664744488; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 1.9999999999999998; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 1.9999999999999998; maxAgePredators: 1.9999999999999998
cycle: 6; nbPreys: 518; minEnergyPreys: 0.09719446245786069; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 2.1999999999999997; nbPredators: 26; minEnergyPredators: 0.99; maxSizePredators: 1.0; minAgePredators: 2.1999999999999997; maxAgePredators: 2.1999999999999997
cycle: 7; nbPreys: 591; minEnergyPreys: 0.05307681539903716; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 2.4; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 2.4; maxAgePredators: 2.4
cycle: 8; nbPreys: 625; minEnergyPreys: 0.008959168340213625; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 2.6; nbPredators: 26; minEnergyPredators: 0.99; maxSizePredators: 1.0; minAgePredators: 2.6; maxAgePredators: 2.6
cycle: 9; nbPreys: 671; minEnergyPreys: 0.023029411764705892; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 2.8000000000000003; nbPredators: 26; minEnergyPredators: 0.99; maxSizePredators: 1.0; minAgePredators: 2.8000000000000003; maxAgePredators: 2.8000000000000003
cycle: 10; nbPreys: 754; minEnergyPreys: 0.03967647058823527; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 3.0000000000000004; nbPredators: 26; minEnergyPredators: 1.0; maxSizePredators: 1.0; minAgePredators: 3.0000000000000004; maxAgePredators: 3.0000000000000004
cycle: 11; nbPreys: 815; minEnergyPreys: 0.015599383286066366; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 3.2000000000000006; nbPredators: 26; minEnergyPredators: 0.9795; maxSizePredators: 1.0; minAgePredators: 3.2000000000000006; maxAgePredators: 3.2000000000000006
cycle: 12; nbPreys: 879; minEnergyPreys: 7.291963173892656E-4; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 3.400000000000001; nbPredators: 26; minEnergyPredators: 0.9585; maxSizePredators: 1.0; minAgePredators: 3.400000000000001; maxAgePredators: 3.400000000000001
cycle: 13; nbPreys: 927; minEnergyPreys: 0.0024479522012114023; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 3.600000000000001; nbPredators: 26; minEnergyPredators: 0.937; maxSizePredators: 1.0; minAgePredators: 3.600000000000001; maxAgePredators: 3.600000000000001
cycle: 14; nbPreys: 998; minEnergyPreys: 6.764705882352133E-4; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 3.800000000000001; nbPredators: 26; minEnergyPredators: 0.915; maxSizePredators: 1.0; minAgePredators: 3.800000000000001; maxAgePredators: 3.800000000000001
cycle: 15; nbPreys: 1028; minEnergyPreys: 0.0010300756450083836; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 4.000000000000001; nbPredators: 26; minEnergyPredators: 0.8925000000000001; maxSizePredators: 1.0; minAgePredators: 4.000000000000001; maxAgePredators: 4.000000000000001
cycle: 16; nbPreys: 1077; minEnergyPreys: 0.001559707510594895; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 4.200000000000001; nbPredators: 26; minEnergyPredators: 0.8695; maxSizePredators: 1.0; minAgePredators: 4.200000000000001; maxAgePredators: 4.200000000000001
cycle: 17; nbPreys: 1057; minEnergyPreys: 0.0015661086944092958; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 4.400000000000001; nbPredators: 26; minEnergyPredators: 0.8875000000000001; maxSizePredators: 1.0; minAgePredators: 4.400000000000001; maxAgePredators: 4.400000000000001
cycle: 18; nbPreys: 1090; minEnergyPreys: 3.340296550443933E-4; maxSizePreys: 1.0; minAgePrey: 1.0; maxAgePrey: 4.600000000000001; nbPredators: 26; minEnergyPredators: 0.8635; maxSizePredators: 1.0; minAgePredators: 4.600000000000001; maxAgePredators: 4.600000000000001
cycle: 19; nbPreys: 1038; minEnergyPreys: 2.5551356464166564E-4; maxSizePreys: 0.9576862745098038; minAgePrey: 1.0; maxAgePrey: 4.800000000000002; nbPredators: 31; minEnergyPredators: 0.3333333333333333; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 4.800000000000002
cycle: 20; nbPreys: 957; minEnergyPreys: 2.4541928879838817E-5; maxSizePreys: 0.9011470588235293; minAgePrey: 1.0; maxAgePrey: 5.000000000000002; nbPredators: 31; minEnergyPredators: 0.8033333333333332; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 5.000000000000002
cycle: 21; nbPreys: 838; minEnergyPreys: 2.3176867558052927E-5; maxSizePreys: 0.8451060847193334; minAgePrey: 1.0; maxAgePrey: 5.200000000000002; nbPredators: 31; minEnergyPredators: 0.8545; maxSizePredators: 1.0; minAgePredators: 1.4; maxAgePredators: 5.200000000000002
cycle: 22; nbPreys: 701; minEnergyPreys: 5.204170427930421E-18; maxSizePreys: 0.7934492219742353; minAgePrey: 1.0; maxAgePrey: 5.400000000000002; nbPredators: 32; minEnergyPredators: 0.8285; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 5.400000000000002
cycle: 23; nbPreys: 623; minEnergyPreys: 3.088305587956707E-4; maxSizePreys: 0.7504411764705877; minAgePrey: 1.0; maxAgePrey: 5.600000000000002; nbPredators: 35; minEnergyPredators: 0.3333333333333333; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 5.600000000000002
cycle: 24; nbPreys: 518; minEnergyPreys: 7.058823529413364E-4; maxSizePreys: 0.7070000000000002; minAgePrey: 1.2; maxAgePrey: 5.8000000000000025; nbPredators: 35; minEnergyPredators: 0.8063333333333333; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 5.8000000000000025
cycle: 25; nbPreys: 453; minEnergyPreys: 7.00107213022369E-4; maxSizePreys: 0.6660000000000001; minAgePrey: 1.0; maxAgePrey: 6.000000000000003; nbPredators: 36; minEnergyPredators: 0.893; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 6.000000000000003
cycle: 26; nbPreys: 324; minEnergyPreys: 3.676470588234986E-4; maxSizePreys: 0.6200784313725487; minAgePrey: 1.0; maxAgePrey: 6.200000000000003; nbPredators: 36; minEnergyPredators: 0.865; maxSizePredators: 1.0; minAgePredators: 1.2; maxAgePredators: 6.200000000000003
